"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 24 21:21:42 BRT 2022","Wed Aug 24 21:22:12 BRT 2022","30027","","CTCourses","","","","cT03ValidaLinkRegistroCursoFirstTestJava",""
"passed","Wed Aug 24 21:14:59 BRT 2022","Wed Aug 24 21:15:20 BRT 2022","21381","","CTPrecos","","","","cT01ValidaCloudPlansMonthly",""
"passed","Wed Aug 24 21:20:32 BRT 2022","Wed Aug 24 21:20:46 BRT 2022","13616","","CTDocumentacao","","","","cT07ValidaCarregamentoImagemCloud",""
"passed","Wed Aug 24 21:19:29 BRT 2022","Wed Aug 24 21:19:37 BRT 2022","7712","","CTDocumentacao","","","","cT02ValidaTemaClaro",""
"passed","Wed Aug 24 21:22:12 BRT 2022","Wed Aug 24 21:22:35 BRT 2022","22543","","CTCourses","","","","cT04ValidaAvisarProximoModulo",""
"passed","Wed Aug 24 21:12:38 BRT 2022","Wed Aug 24 21:12:50 BRT 2022","11358","","CTRodape","","","","cT06ValidaRedirecionamentoTermsOfService",""
"passed","Wed Aug 24 21:27:45 BRT 2022","Wed Aug 24 21:28:00 BRT 2022","15371","","CTGatlingEnterprise","","","","cT06ValidaBotaoLerMaisCloudOffers",""
"passed","Wed Aug 24 21:14:33 BRT 2022","Wed Aug 24 21:14:50 BRT 2022","17024","","CTContato","","","","cT02ValidaGoHome",""
"passed","Wed Aug 24 21:12:24 BRT 2022","Wed Aug 24 21:12:38 BRT 2022","14164","","CTRodape","","","","cT05ValidaRedirecionamentoPrivacy",""
"passed","Wed Aug 24 21:12:50 BRT 2022","Wed Aug 24 21:12:54 BRT 2022","4441","","CTRodape","","","","cT07ValidaScrollup",""
"passed","Wed Aug 24 21:19:48 BRT 2022","Wed Aug 24 21:20:00 BRT 2022","11228","","CTDocumentacao","","","","cT04ValidaLinkGitHub",""
"passed","Wed Aug 24 21:25:01 BRT 2022","Wed Aug 24 21:25:37 BRT 2022","35829","","CTSigIn","","","","cT02ValidaLogin",""
"passed","Wed Aug 24 21:15:20 BRT 2022","Wed Aug 24 21:15:32 BRT 2022","11801","","CTPrecos","","","","cT02ValidaCloudPlansAnnually",""
"passed","Wed Aug 24 21:13:31 BRT 2022","Wed Aug 24 21:14:33 BRT 2022","62246","","CTContato","","","","cT01CamposObrigatórioseSucesso",""
"passed","Wed Aug 24 21:18:11 BRT 2022","Wed Aug 24 21:18:39 BRT 2022","27921","","CTBlog","","","","cT05ValidaLinkPostagemMaisAntiga",""
"passed","Wed Aug 24 21:25:37 BRT 2022","Wed Aug 24 21:25:54 BRT 2022","16540","","CTSigIn","","","","cT0ValidaLembrarEmail",""
